evidence_id,edge_id,source_id,source_locator,evidence_summary,archived_path,content_sha256,mime_type,archived_at,auditor_result,auditor_note
EV_GOOG_NVDA,E_GOOG_NVDA,S_GOOG,PDF p.2 AI progress paragraph,Alphabet称NVIDIA为合作伙伴并将首批提供Vera Rubin平台,data/sources/archive/S_GOOG.pdf,8e3678d5138e30a0ee9065cdf54ae790937b9e27194ffae223a0c438c4928cd5,application/pdf,2026-07-19,PASS,主体关系与产品均由公司电话会直接披露
EV_AMZN_NVDA,E_AMZN_NVDA,S_AMZN,PDF p.2 highlights bullet 3,Amazon披露自2026年起部署超过一百万块NVIDIA GPU,data/sources/archive/S_AMZN.pdf,abd500d48f7a87cd6a02b6a7dac6cc748ba310513d123d0e4d30b47dfc0aafe0,application/pdf,2026-07-19,PASS,部署数量和起始年份均为公司原文
EV_META_AMD,E_META_AMD,S_EDGE_AMD_META,Opening news summary and agreement paragraphs,AMD与Meta披露最高6GW的多年多代GPU协议,data/sources/archive/S_EDGE_AMD_META.html,4d3044f4b5a620b05e383e1696cde723f9d526fa8f9687d57d1c89d26daaf9b8,text/html,2026-07-19,PASS,协议规模与产品由双方官方公告披露
EV_NVDA_SKHYNIX,E_NVDA_SKHYNIX,S_EDGE_SK_NVDA,PDF p.1 news summary and supply paragraph,NVIDIA与SK海力士披露多年技术合作并支持下一代内存供给,data/sources/archive/S_EDGE_SK_NVDA.pdf,c87243e43a5c437b6d7a9d8afe2f6f34197723dbf7c0ef2fc55009ac178b1dd7,application/pdf,2026-07-19,PASS,合作期限与供给含义均在官方新闻摘要中
EV_NVDA_COHERENT,E_NVDA_COHERENT,S_EDGE_NVDA_COHERENT,PDF p.1 news summary,NVIDIA对Coherent作出多年非排他采购承诺并获得未来产能权利,data/sources/archive/S_EDGE_NVDA_COHERENT.pdf,17b19ff2d665fddbbbab952d7b34557541e8210f667c75b7cea746c91afa9cba,application/pdf,2026-07-19,PASS,采购承诺和产品范围由联合公告明确披露
EV_AMD_SAMSUNG,E_AMD_SAMSUNG,S_EDGE_SAMSUNG_AMD,Opening strategic collaboration paragraphs,Samsung与AMD披露面向下一代AI内存的战略合作,data/sources/archive/S_EDGE_SAMSUNG_AMD.html,4e82f5a45618077b5015cd33572c4f4f7fe0e234aa23fcdf78e7c3cfc8ea3015,text/html,2026-07-19,PASS,合作主体和产品方向由Samsung官方公告披露
EV_AMD_TSMC,E_AMD_TSMC,S_EDGE_AMD_TSMC,Opening news summary and first two body paragraphs,AMD披露EPYC Venice已在TSMC 2nm进入量产爬坡,data/sources/archive/S_EDGE_AMD_TSMC.html,13db3e63e2f59e7d01bd34495cef213770a635c3a5445a6fae7c54499c823ff2,text/html,2026-07-19,PASS,制造方制程和量产状态由AMD官方披露
EV_COHERENT_MRVL,E_COHERENT_MRVL,S_EDGE_COHERENT_MRVL,Product description paragraph naming Marvell Ara DSP,Coherent披露其1.6T模块采用Marvell Ara 3nm PAM4 DSP,data/sources/archive/S_EDGE_COHERENT_MRVL.html,4628a801c90ea2134e1f1330f4e7d00593aff912588ee29e516b36a4d75edba9,text/html,2026-07-19,PASS,组件品牌型号由产品公告直接列名
EV_TSMC_AMKOR,E_TSMC_AMKOR,S_EDGE_AMKOR_TSMC,Official page body paragraphs 1-5; PDF p.1 equivalent,TSMC披露将向Amkor采购亚利桑那先进封装测试服务,data/sources/archive/S_EDGE_AMKOR_TSMC.txt,802526e37244838743f95539c3e6193dfd717ba28b78b2b839d074b198b350f6,text/plain,2026-07-19,PASS,官方页面正文快照包含委托服务与CoWoS范围
EV_NVDA_LUMENTUM,E_NVDA_LUMENTUM,S_EDGE_NVDA_LUMENTUM,PDF p.1 news summary,NVIDIA对Lumentum作出多年非排他激光组件采购承诺并取得产能权利,data/sources/archive/S_EDGE_NVDA_LUMENTUM.pdf,3d27345bd331a7d4075a1671e3a6e69d726a421e08356aa68110baac1d057f05,application/pdf,2026-07-19,PASS,采购承诺产品范围与产能权利由联合公告披露
