edge_id,source_company,relation_type,target_company,product,source_id,source_url,disclosed_at,valid_from,source_locator,archived_path_or_sha256,auditor_result,auditor_note
E_COHERENT_MRVL,Coherent,采用组件,Marvell Technology,1.6T 光模块 PAM4 DSP,S_EDGE_COHERENT_MRVL,https://www.coherent.com/news/press-releases/silicon-photonics-based-transceiver-modules,2025-03-31,2025-03-31,Product description paragraph naming Marvell Ara DSP,data/sources/archive/S_EDGE_COHERENT_MRVL.html#sha256=4628a801c90ea2134e1f1330f4e7d00593aff912588ee29e516b36a4d75edba9,PASS,组件品牌型号由产品公告直接列名
E_NVDA_COHERENT,NVIDIA,采购承诺与投资,Coherent,先进激光和光网络产品,S_EDGE_NVDA_COHERENT,https://www.coherent.com/news/press-releases/nvidia-and-coherent-announce-strategic-partnership,2026-03-02,2026-03-02,PDF p.1 news summary,data/sources/archive/S_EDGE_NVDA_COHERENT.pdf#sha256=17b19ff2d665fddbbbab952d7b34557541e8210f667c75b7cea746c91afa9cba,PASS,采购承诺和产品范围由联合公告明确披露
E_NVDA_SKHYNIX,NVIDIA,技术合作与供给,SK hynix,下一代 AI 内存,S_EDGE_SK_NVDA,https://nvidianews.nvidia.com/news/sk-hynix-ai-factory,2026-06-07,2026-06-07,PDF p.1 news summary and supply paragraph,data/sources/archive/S_EDGE_SK_NVDA.pdf#sha256=c87243e43a5c437b6d7a9d8afe2f6f34197723dbf7c0ef2fc55009ac178b1dd7,PASS,合作期限与供给含义均在官方新闻摘要中
E_TSMC_AMKOR,TSMC,先进封装合作,Amkor Technology,美国先进封装与测试,S_EDGE_AMKOR_TSMC,https://pr.tsmc.com/english/news/3174,2024-10-04,2024-10-04,Official page body paragraphs 1-5; PDF p.1 equivalent,data/sources/archive/S_EDGE_AMKOR_TSMC.txt#sha256=802526e37244838743f95539c3e6193dfd717ba28b78b2b839d074b198b350f6,PASS,官方页面正文快照包含委托服务与CoWoS范围
E_AMD_TSMC,Advanced Micro Devices,委托制造,TSMC,EPYC Venice CPU（TSMC 2nm）,S_EDGE_AMD_TSMC,https://ir.amd.com/news-events/press-releases/detail/1287/amd-announces-production-ramp-of-next-generation-amd-epyc-processor-venice-on-tsmc-2nm-process-technology,2026-05-21,2026-05-21,Opening news summary and first two body paragraphs,data/sources/archive/S_EDGE_AMD_TSMC.html#sha256=13db3e63e2f59e7d01bd34495cef213770a635c3a5445a6fae7c54499c823ff2,PASS,制造方制程和量产状态由AMD官方披露
E_META_AMD,Meta Platforms,多年采购协议,Advanced Micro Devices,Instinct GPU 与机架级 AI 系统,S_EDGE_AMD_META,https://ir.amd.com/financial-information/sec-filings/content/0000002488-26-000045/pressreleasedatedfebruary2.htm,2026-02-24,2026-02-24,Opening news summary and agreement paragraphs,data/sources/archive/S_EDGE_AMD_META.html#sha256=4d3044f4b5a620b05e383e1696cde723f9d526fa8f9687d57d1c89d26daaf9b8,PASS,协议规模与产品由双方官方公告披露
E_GOOG_NVDA,Alphabet,采购与部署,NVIDIA,NVIDIA GPU 平台,S_GOOG,https://abc.xyz/investor/events/event-details/2026/2025-Q4-Earnings-Call-2026-Dr_C033hS6/default.aspx,2026-02-04,2026-02-04,PDF p.2 AI progress paragraph,data/sources/archive/S_GOOG.pdf#sha256=8e3678d5138e30a0ee9065cdf54ae790937b9e27194ffae223a0c438c4928cd5,PASS,主体关系与产品均由公司电话会直接披露
E_AMD_SAMSUNG,Advanced Micro Devices,技术合作,Samsung Electronics,下一代 AI 内存,S_EDGE_SAMSUNG_AMD,https://news.samsung.com/global/samsung-and-amd-expand-strategic-collaboration-on-next-generation-ai-memory-solutions,2026-03-18,2026-03-18,Opening strategic collaboration paragraphs,data/sources/archive/S_EDGE_SAMSUNG_AMD.html#sha256=4e82f5a45618077b5015cd33572c4f4f7fe0e234aa23fcdf78e7c3cfc8ea3015,PASS,合作主体和产品方向由Samsung官方公告披露
E_NVDA_LUMENTUM,NVIDIA,采购承诺与投资,Lumentum Holdings,先进激光组件,S_EDGE_NVDA_LUMENTUM,https://investor.lumentum.com/financial-news-releases/news-details/2026/NVIDIA-Announces-Strategic-Partnership-With-Lumentum-to-Develop-State-of-the-Art-Optics-Technology/default.aspx,2026-03-02,2026-03-02,PDF p.1 news summary,data/sources/archive/S_EDGE_NVDA_LUMENTUM.pdf#sha256=3d27345bd331a7d4075a1671e3a6e69d726a421e08356aa68110baac1d057f05,PASS,采购承诺产品范围与产能权利由联合公告披露
E_AMZN_NVDA,Amazon,采购与部署,NVIDIA,自 2026 年开始部署的 NVIDIA GPU,S_AMZN,https://ir.aboutamazon.com/news-release/news-release-details/2026/Amazon-com-Announces-First-Quarter-Results/default.aspx,2026-04-29,2026-04-29,PDF p.2 highlights bullet 3,data/sources/archive/S_AMZN.pdf#sha256=abd500d48f7a87cd6a02b6a7dac6cc748ba310513d123d0e4d30b47dfc0aafe0,PASS,部署数量和起始年份均为公司原文
