security_id,company_id,ticker,market,currency,security_type,is_primary
US_MSFT,CLOUD_MSFT,MSFT,US,USD,普通股,true
US_GOOGL,CLOUD_GOOG,GOOGL,US,USD,普通股,true
US_AMZN,CLOUD_AMZN,AMZN,US,USD,普通股,true
US_META,CLOUD_META,META,US,USD,普通股,true
US_ORCL,CLOUD_ORCL,ORCL,US,USD,普通股,true
US_NVDA,CHIP_NVDA,NVDA,US,USD,普通股,true
US_AMD,CHIP_AMD,AMD,US,USD,普通股,true
US_AVGO,CHIP_AVGO,AVGO,US,USD,普通股,true
US_MRVL,CHIP_MRVL,MRVL,US,USD,普通股,true
US_INTC,CHIP_INTC,INTC,US,USD,普通股,true
US_TSM,MEM_TSMC,TSM,US,USD,ADR,true
TW_2330,MEM_TSMC,2330,TW,TWD,普通股,false
KR_000660,MEM_SKHYNIX,000660,KR,KRW,普通股,true
KR_005930,MEM_SAMSUNG,005930,KR,KRW,普通股,true
US_MU,MEM_MICRON,MU,US,USD,普通股,true
US_ASX,PKG_ASE,ASX,US,USD,ADR,true
TW_3711,PKG_ASE,3711,TW,TWD,普通股,false
US_AMKR,PKG_AMKOR,AMKR,US,USD,普通股,true
JP_4062,PKG_IBIDEN,4062,JP,JPY,普通股,true
US_ANET,NET_ARISTA,ANET,US,USD,普通股,true
US_CSCO,NET_CISCO,CSCO,US,USD,普通股,true
US_CRDO,NET_CREDO,CRDO,US,USD,普通股,true
US_ALAB,NET_ASTERA,ALAB,US,USD,普通股,true
US_COHR,OPT_COHERENT,COHR,US,USD,普通股,true
US_LITE,OPT_LUMENTUM,LITE,US,USD,普通股,true
US_CIEN,OPT_CIENA,CIEN,US,USD,普通股,true
US_FN,OPT_FABRINET,FN,US,USD,普通股,true
A_300308,OPT_INNOLIGHT,300308,A,CNY,普通股,true
A_300502,OPT_EOPTOLINK,300502,A,CNY,普通股,true
A_002281,OPT_ACCELINK,002281,A,CNY,普通股,true
A_000063,NET_ZTE,000063,A,CNY,普通股,true
H_00763,NET_ZTE,00763,H,HKD,H股,false
A_601869,OPT_YOFC,601869,A,CNY,普通股,true
H_06869,OPT_YOFC,06869,H,HKD,H股,false

