edge_id,source_company_id,relation_type,target_company_id,product,valid_from,valid_to,disclosed_at,economic_exposure,confidence,source_id
E_GOOG_NVDA,CLOUD_GOOG,采购与部署,CHIP_NVDA,NVIDIA GPU 平台,2026-02-04,,2026-02-04,直接披露合作与部署,0.95,S_GOOG
E_AMZN_NVDA,CLOUD_AMZN,采购与部署,CHIP_NVDA,自 2026 年开始部署的 NVIDIA GPU,2026-04-29,,2026-04-29,公司披露部署数量级,0.95,S_AMZN
E_META_AMD,CLOUD_META,多年采购协议,CHIP_AMD,Instinct GPU 与机架级 AI 系统,2026-02-24,,2026-02-24,最高 6GW 的多年多代协议,0.98,S_EDGE_AMD_META
E_NVDA_SKHYNIX,CHIP_NVDA,技术合作与供给,MEM_SKHYNIX,下一代 AI 内存,2026-06-07,,2026-06-07,多年技术合作并支持扩产,0.98,S_EDGE_SK_NVDA
E_NVDA_COHERENT,CHIP_NVDA,采购承诺与投资,OPT_COHERENT,先进激光和光网络产品,2026-03-02,,2026-03-02,多年非排他采购承诺,0.99,S_EDGE_NVDA_COHERENT
E_AMD_SAMSUNG,CHIP_AMD,技术合作,MEM_SAMSUNG,下一代 AI 内存,2026-03-18,,2026-03-18,双方官方披露合作,0.98,S_EDGE_SAMSUNG_AMD
E_AMD_TSMC,CHIP_AMD,委托制造,MEM_TSMC,EPYC Venice CPU（TSMC 2nm）,2026-05-21,,2026-05-21,官方披露已在 TSMC 2nm 进入量产爬坡,0.99,S_EDGE_AMD_TSMC
E_COHERENT_MRVL,OPT_COHERENT,采用组件,CHIP_MRVL,1.6T 光模块 PAM4 DSP,2025-03-31,,2025-03-31,产品演示明确列名,0.98,S_EDGE_COHERENT_MRVL
E_TSMC_AMKOR,MEM_TSMC,先进封装合作,PKG_AMKOR,美国先进封装与测试,2024-10-04,,2024-10-04,双方签署合作备忘录并披露委托封装测试,0.99,S_EDGE_AMKOR_TSMC
E_NVDA_LUMENTUM,CHIP_NVDA,采购承诺与投资,OPT_LUMENTUM,先进激光组件,2026-03-02,,2026-03-02,多年非排他采购承诺与未来产能权利,0.99,S_EDGE_NVDA_LUMENTUM
