company_id,as_of_date,core_product,major_customers,ai_revenue_exposure,exposure_basis,current_thesis,strongest_bear_case,source_id,confidence
CLOUD_MSFT,2026-07-19,"Azure AI 基础设施；GPU/CPU 算力；自研加速器","企业与开发者；OpenAI；具体硬件供应商组合未完整披露",直接-高,"公司披露 AI 业务 ARR 与 AI 基础设施资本开支；不是供应商收入拆分","短周期设备占资本开支比重高，微软是 AI 硬件需求最直接的边际资金来源之一","资本开支先压低自由现金流；容量投产后若利用率或定价不足，供应链需求可能降速",S_MSFT,0.95
CLOUD_GOOG,2026-07-19,"Google Cloud；TPU；NVIDIA GPU；全球数据中心网络","Google Cloud 客户；Google DeepMind；Google Services",直接-高,"公司披露技术基础设施构成、TPU/GPU 与 2026 CapEx 指引","服务器约占技术基础设施投资的主要部分，TPU 与 GPU 并行使其同时是需求方和 ASIC 定义者","自研 TPU 提升可能减少对商用 GPU 的单位依赖；折旧与能源成本侵蚀利润",S_GOOG,0.95
CLOUD_AMZN,2026-07-19,"AWS；Trainium；Graviton；NVIDIA GPU","AWS 客户；Anthropic；OpenAI；企业客户",直接-高,"公司披露 AI 投资导致固定资产购买增加，并披露自研芯片与 GPU 部署","自研芯片和商用 GPU 同时扩张，AWS 是加速器、内存和网络需求的重要来源","巨额投入已显著压低自由现金流；自研芯片采用与外部客户变现可能不及预期",S_AMZN,0.95
CLOUD_META,2026-07-19,"自建 AI 训练/推理集群；推荐与广告模型；自研 MTIA","广告客户与平台用户；硬件供应商另行披露",直接-中,"AI 主要通过广告效率和产品体验变现，AI 基础设施收入未单独披露","资本开支指引上修且 GPU 多元化采购，可能向加速器、网络和内存形成大额订单","AI 收入不是独立分部；广告增量与基础设施投入之间的因果转换可能弱于市场叙事",S_META,0.90
CLOUD_ORCL,2026-07-19,"OCI GPU 超集群；云数据库；AI 基础设施","OCI 客户与 AI 模型公司；具体供应链分配未完整披露",直接-高,"OCI 增长与 AI 云基础设施投资直接相关，FY2026 自由现金流受投资拖累","OCI 容量扩张提供云厂商之外的新增资本来源，并可能提高多供应商议价空间","资金需求和负自由现金流显著；客户集中与长期合同回报存在兑现风险",S_ORCL,0.90
CHIP_NVDA,2026-07-19,"Blackwell/Vera Rubin GPU；NVLink；Spectrum-X 与 InfiniBand","云厂商、AI 模型公司、企业和主权 AI 客户",直接-高,"数据中心计算与网络收入均直接披露，AI 暴露最清晰","计算与网络平台一体化使价值捕获不局限于 GPU，网络收入的高增速支持外围价值量提升","高基数、出口限制、客户自研 ASIC 与竞争平台可能压低增速和议价权",S_NVDA,0.98
CHIP_AMD,2026-07-19,"Instinct MI 系列 GPU；EPYC CPU；Pensando DPU/NIC","云厂商与大型平台；Meta 合同已披露；其他客户见公司材料",直接-高,"数据中心分部含 AI 加速器且公司披露大型部署","GPU、CPU、NIC 与机架级方案共同扩张，若大客户部署兑现可推动盈利预期上修","软件生态和供给执行仍落后于 NVIDIA；大项目可能挤压价格并造成客户集中",S_AMD,0.95
CHIP_AVGO,2026-07-19,"定制 AI 加速器；Tomahawk/Jericho 交换芯片；SerDes","大型云厂商；具体客户与项目经济性多未逐一披露",直接-高,"公司单独披露 AI 半导体收入由定制加速器和 AI 网络驱动","ASIC 与交换芯片双重暴露可同时承接算力核心和网络价值量提升","少数客户集中、项目节奏波动与客户自研能力可能使收入和估值高度周期化",S_AVGO,0.96
CHIP_MRVL,2026-07-19,"定制 XPU；交换芯片；PAM4 DSP；电光互联","云厂商、网络设备商和存储客户；多数名称未披露",直接-高,"公司披露 AI 相关订单和数据中心产品组合","定制 XPU 与 800G/1.6T 光互联并举，能捕捉 ASIC 和网络扩散两条路径","项目赢单不等于量产收入；定制 ASIC 进度变化与光 DSP 竞争会放大波动",S_MRVL,0.94
CHIP_INTC,2026-07-19,"Xeon CPU；Gaudi AI 加速器；以太网与晶圆代工","企业和云数据中心；具体 AI 客户未形成充分披露",直接-低,"数据中心业务广泛，但纯 AI 加速器收入未清晰拆分","CPU 仍是 AI 服务器必需配套，若推理向通用计算扩散可形成补涨收入","GPU/ASIC 竞争力和代工执行仍需验证；广义数据中心收入不能等同 AI 收入",S_INTC,0.78
