source_id,title,publisher,source_type,url,disclosed_at,accessed_at
S_MSFT,Microsoft FY2026 Q3 earnings call,Microsoft,earnings_call,https://www.microsoft.com/en-us/investor/events/fy-2026/earnings-fy-2026-q3,2026-04-29,2026-07-19
S_GOOG,Alphabet 2025 Q4 earnings call,Alphabet,earnings_call,https://abc.xyz/investor/events/event-details/2026/2025-Q4-Earnings-Call-2026-Dr_C033hS6/default.aspx,2026-02-04,2026-07-19
S_AMZN,Amazon Q1 2026 results,Amazon,earnings_release,https://ir.aboutamazon.com/news-release/news-release-details/2026/Amazon-com-Announces-First-Quarter-Results/default.aspx,2026-04-29,2026-07-19
S_META,Meta Q1 2026 results,Meta Platforms,earnings_release,https://investor.atmeta.com/investor-news/press-release-details/2026/Meta-Reports-First-Quarter-2026-Results/default.aspx,2026-04-29,2026-07-19
S_ORCL,Oracle Q4 and FY2026 results,Oracle,earnings_release,https://investor.oracle.com/investor-news/news-details/2026/Oracle-Announces-Record-Q4-and-FY-2026-Results-Driven-by-Cloud-Infrastructure--Cloud-Applications/,2026-06-15,2026-07-19
S_NVDA,NVIDIA Q1 FY2027 results,NVIDIA,earnings_release,https://investor.nvidia.com/news/press-release-details/2026/NVIDIA-Announces-Financial-Results-for-First-Quarter-Fiscal-2027/default.aspx,2026-05-20,2026-07-19
S_AMD,AMD Q1 2026 results,AMD,earnings_release,https://ir.amd.com/news-events/press-releases/detail/1284/amd-reports-first-quarter-2026-financial-results,2026-05-05,2026-07-19
S_AVGO,Broadcom Q2 FY2026 results,Broadcom,earnings_release,https://investors.broadcom.com/news-releases/news-release-details/broadcom-inc-announces-second-quarter-fiscal-year-2026-financial,2026-06-03,2026-07-19
S_MRVL,Marvell Q1 FY2027 results,Marvell Technology,earnings_release,https://investor.marvell.com/news-events/press-releases/detail/1023/marvell-technology-inc-reports-first-quarter-of-fiscal-year-2027-financial-results,2026-05-28,2026-07-19
S_INTC,Intel Q1 2026 results,Intel,earnings_release,https://www.intc.com/news-events/press-releases/detail/1767/intel-reports-first-quarter-2026-financial-results,2026-04-23,2026-07-19
S_TSMC,TSMC Q1 2026 earnings call transcript,TSMC,earnings_call,https://investor.tsmc.com/english/encrypt/files/encrypt_file/reports/2026-04/3cef85204275f94fd111485cfdf4adb3c0263c45/TSMC%201Q26%20Transcript.pdf,2026-04-16,2026-07-19
S_SKHYNIX,SK hynix ships HBM4E samples,SK hynix,press_release,https://news.skhynix.com/12-layer-hbm4e-sample/,2026-06-18,2026-07-19
S_SAMSUNG,Samsung Electronics Q1 2026 results,Samsung Electronics,earnings_release,https://news.samsung.com/global/samsung-electronics-announces-first-quarter-2026-results,2026-04-30,2026-07-19
S_MICRON,Micron Q3 FY2026 results,Micron Technology,earnings_release,https://investors.micron.com/node/50671,2026-06-24,2026-07-19
