company,security_code,market,industry_layer,core_product,major_customers,ai_revenue_exposure,disclosed_at,current_thesis,strongest_bear_case,relationship_source
Advanced Micro Devices,AMD,US,GPU/ASIC,Instinct MI 系列 GPU；EPYC CPU；Pensando DPU/NIC,云厂商与大型平台；Meta 合同已披露；其他客户见公司材料,直接-高,2026-05-05,GPU、CPU、NIC 与机架级方案共同扩张，若大客户部署兑现可推动盈利预期上修,软件生态和供给执行仍落后于 NVIDIA；大项目可能挤压价格并造成客户集中,https://ir.amd.com/news-events/press-releases/detail/1284/amd-reports-first-quarter-2026-financial-results
Broadcom,AVGO,US,GPU/ASIC,定制 AI 加速器；Tomahawk/Jericho 交换芯片；SerDes,大型云厂商；具体客户与项目经济性多未逐一披露,直接-高,2026-06-03,ASIC 与交换芯片双重暴露可同时承接算力核心和网络价值量提升,少数客户集中、项目节奏波动与客户自研能力可能使收入和估值高度周期化,https://investors.broadcom.com/news-releases/news-release-details/broadcom-inc-announces-second-quarter-fiscal-year-2026-financial
Intel,INTC,US,GPU/ASIC,Xeon CPU；Gaudi AI 加速器；以太网与晶圆代工,企业和云数据中心；具体 AI 客户未形成充分披露,直接-低,2026-04-23,CPU 仍是 AI 服务器必需配套，若推理向通用计算扩散可形成补涨收入,GPU/ASIC 竞争力和代工执行仍需验证；广义数据中心收入不能等同 AI 收入,https://www.intc.com/news-events/press-releases/detail/1767/intel-reports-first-quarter-2026-financial-results
Marvell Technology,MRVL,US,GPU/ASIC,定制 XPU；交换芯片；PAM4 DSP；电光互联,云厂商、网络设备商和存储客户；多数名称未披露,直接-高,2026-05-28,定制 XPU 与 800G/1.6T 光互联并举，能捕捉 ASIC 和网络扩散两条路径,项目赢单不等于量产收入；定制 ASIC 进度变化与光 DSP 竞争会放大波动,https://investor.marvell.com/news-events/press-releases/detail/1023/marvell-technology-inc-reports-first-quarter-of-fiscal-year-2027-financial-results
NVIDIA,NVDA,US,GPU/ASIC,Blackwell/Vera Rubin GPU；NVLink；Spectrum-X 与 InfiniBand,云厂商、AI 模型公司、企业和主权 AI 客户,直接-高,2026-05-20,计算与网络平台一体化使价值捕获不局限于 GPU，网络收入的高增速支持外围价值量提升,高基数、出口限制、客户自研 ASIC 与竞争平台可能压低增速和议价权,https://investor.nvidia.com/news/press-release-details/2026/NVIDIA-Announces-Financial-Results-for-First-Quarter-Fiscal-2027/default.aspx
ASE Technology Holding,ASX / 3711,US / TW,HBM与先进封装,VIPack；FOCoS；面板级封装；测试,芯片设计公司与 IDM；客户名称受保密限制,直接-中,2026-05-26,CoWoS 外溢和异构集成复杂度上升为独立封测厂创造增量机会,先进封装资本开支高且与头部晶圆厂竞争；新产线良率和利用率决定回报,https://ase.aseglobal.com/press-room/310x310/
Amkor Technology,AMKR,US,HBM与先进封装,先进封装；Flip Chip；晶圆级处理与测试,领先芯片公司；前十大客户集中度已披露但名称多保密,直接-中,2026-04-27,美国先进封装扩产与客户多元化可能承接本土供应链需求,当前毛利率显著低于核心芯片厂；资本开支和客户集中可能吞噬自由现金流,https://ir.amkor.com/news-releases/news-release-details/amkor-technology-reports-financial-results-first-quarter-2026
IBIDEN,4062,JP,HBM与先进封装,高阶 ABF/IC 封装基板,CPU/GPU 等高性能芯片客户；公司仅称主要 CPU 客户,直接-高,2026-02-03,大尺寸多层基板负载上升且扩产有客户预付款支持，显示瓶颈具经济约束,大客户集中、长建设周期与后续供给扩张可能导致利用率和价格回落,https://www.ibiden.com/company/2026/02/notice-regarding-capital-investment-plan-for-high-performance-ic-package-substrates.html
Micron Technology,MU,US,HBM与先进封装,HBM3E/HBM4/HBM4E；服务器 DRAM；数据中心 SSD,GPU/ASIC 与服务器客户；客户名称多未逐一披露,直接-高,2026-06-24,HBM 与服务器内存供需趋紧可带来价格和利润率的双重弹性,存储周期反转、扩产过快或 HBM 认证份额不达预期会迅速压低盈利,https://investors.micron.com/node/50671
SK hynix,000660,KR,HBM与先进封装,HBM3E/HBM4/HBM4E；服务器 DRAM；AI SSD,全球 GPU/ASIC 厂商与服务器客户；NVIDIA 合作已披露,直接-高,2026-06-18,HBM 代际升级和定制化提高单位价值量，产品认证与良率构成真实瓶颈,存储价格周期、竞争者追赶和大客户议价可能令高利润难以长期维持,https://news.skhynix.com/12-layer-hbm4e-sample/
